Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate,Latitude,Longitude
7232,3,23,3,0,0.0,-37.8130638813,144.9390288094
7232,3,24,1,1,1.0,-37.8130638813,144.9390288094
7232,3,25,4,1,0.25,-37.8130638813,144.9390288094
7234,3,23,1,1,1.0,-37.8101986273,144.9824055727
7234,3,24,1,0,0.0,-37.8101986273,144.9824055727
7234,3,25,2,2,1.0,-37.8101986273,144.9824055727
7236,3,16,1,1,1.0,-37.809486063,144.9769096444
7236,3,21,2,2,1.0,-37.809486063,144.9769096444
7236,3,22,1,1,1.0,-37.809486063,144.9769096444
7236,3,23,3,2,0.6667,-37.809486063,144.9769096444
7236,3,24,14,11,0.7857,-37.809486063,144.9769096444
7236,3,25,3,1,0.3333,-37.809486063,144.9769096444
7237,3,12,1,0,0.0,-37.8101895053,144.9814839
7237,3,21,1,0,0.0,-37.8101895053,144.9814839
7237,3,23,1,0,0.0,-37.8101895053,144.9814839
7237,3,24,3,1,0.3333,-37.8101895053,144.9814839
7237,3,25,1,0,0.0,-37.8101895053,144.9814839
7239,3,18,1,0,0.0,-37.8099609319,144.9796551383
7239,3,19,5,0,0.0,-37.8099609319,144.9796551383
7239,3,20,4,0,0.0,-37.8099609319,144.9796551383
7239,3,21,3,0,0.0,-37.8099609319,144.9796551383
7239,3,22,3,1,0.3333,-37.8099609319,144.9796551383
7239,3,23,2,0,0.0,-37.8099609319,144.9796551383
7239,3,24,8,3,0.375,-37.8099609319,144.9796551383
7239,3,25,2,2,1.0,-37.8099609319,144.9796551383
7241,3,23,3,2,0.6667,-37.8094814333,144.9774324833
7241,3,24,1,1,1.0,-37.8094814333,144.9774324833
7241,3,25,1,1,1.0,-37.8094814333,144.9774324833
7243,6,32,1,0,0.0,-37.810153246,144.9840712032
7243,6,36,1,1,1.0,-37.810153246,144.9840712032
7243,6,37,1,0,0.0,-37.810153246,144.9840712032
7243,6,38,1,1,1.0,-37.810153246,144.9840712032
7243,6,39,2,2,1.0,-37.810153246,144.9840712032
7243,6,43,1,1,1.0,-37.810153246,144.9840712032
7244,3,22,1,1,1.0,-37.8093163,144.9743374
7245,3,15,1,1,1.0,-37.8090397596,144.9744741115
7245,2,16,1,1,1.0,-37.8090397596,144.9744741115
7245,3,16,1,1,1.0,-37.8090397596,144.9744741115
7245,0,17,1,1,1.0,-37.8090397596,144.9744741115
7245,1,17,1,1,1.0,-37.8090397596,144.9744741115
7245,2,18,1,1,1.0,-37.8090397596,144.9744741115
7245,3,21,1,0,0.0,-37.8090397596,144.9744741115
7245,1,22,1,1,1.0,-37.8090397596,144.9744741115
7245,3,22,1,0,0.0,-37.8090397596,144.9744741115
7245,2,23,1,1,1.0,-37.8090397596,144.9744741115
7245,3,23,3,0,0.0,-37.8090397596,144.9744741115
7245,3,24,3,0,0.0,-37.8090397596,144.9744741115
7245,3,25,1,1,1.0,-37.8090397596,144.9744741115
7246,6,5,1,0,0.0,-37.8103761604,144.988132273
7246,6,18,1,0,0.0,-37.8103761604,144.988132273
7246,2,19,1,0,0.0,-37.8103761604,144.988132273
7246,6,25,3,2,0.6667,-37.8103761604,144.988132273
7246,5,27,1,1,1.0,-37.8103761604,144.988132273
7246,6,27,1,0,0.0,-37.8103761604,144.988132273
7246,6,29,1,1,1.0,-37.8103761604,144.988132273
7246,5,30,1,0,0.0,-37.8103761604,144.988132273
7246,5,31,1,0,0.0,-37.8103761604,144.988132273
7246,6,32,1,1,1.0,-37.8103761604,144.988132273
7246,6,33,3,3,1.0,-37.8103761604,144.988132273
7246,6,36,1,1,1.0,-37.8103761604,144.988132273
7246,6,37,2,1,0.5,-37.8103761604,144.988132273
7246,6,39,1,1,1.0,-37.8103761604,144.988132273
7246,6,40,2,2,1.0,-37.8103761604,144.988132273
7246,6,44,1,1,1.0,-37.8103761604,144.988132273
7246,5,46,1,0,0.0,-37.8103761604,144.988132273
7246,6,46,2,1,0.5,-37.8103761604,144.988132273
7247,3,16,1,1,1.0,-37.8108572173,144.9768748942
7247,3,20,1,0,0.0,-37.8108572173,144.9768748942
7247,3,21,2,2,1.0,-37.8108572173,144.9768748942
7247,3,22,2,0,0.0,-37.8108572173,144.9768748942
7247,3,23,11,6,0.5455,-37.8108572173,144.9768748942
7247,3,24,8,5,0.625,-37.8108572173,144.9768748942
7247,3,25,5,3,0.6,-37.8108572173,144.9768748942
7247,1,28,1,1,1.0,-37.8108572173,144.9768748942
7247,1,29,1,1,1.0,-37.8108572173,144.9768748942
7250,0,0,1,1,1.0,-37.8140846325,144.9829599565
7250,6,21,1,0,0.0,-37.8140846325,144.9829599565
7250,2,22,1,1,1.0,-37.8140846325,144.9829599565
