Zone_Number,dow,slot_30,total_obs,unoccupied,availability_rate
7255,6,30,3,3,1.0
7255,6,32,1,1,1.0
7255,6,34,1,1,1.0
7255,6,36,9,9,1.0
7255,6,37,2,2,1.0
7255,6,38,1,1,1.0
7255,6,44,1,1,1.0
7255,6,45,1,0,0.0
7255,6,46,1,1,1.0
7255,6,47,1,1,1.0
7258,0,37,1,1,1.0
7258,2,20,1,1,1.0
7258,3,11,1,0,0.0
7258,3,17,1,0,0.0
7258,3,18,1,0,0.0
7258,3,20,1,0,0.0
7258,3,21,1,0,0.0
7258,3,22,2,0,0.0
7258,3,23,4,0,0.0
7258,3,24,8,0,0.0
7258,3,25,4,3,0.75
7259,3,20,1,0,0.0
7259,3,21,2,0,0.0
7259,3,22,1,0,0.0
7259,3,24,1,0,0.0
7259,3,25,1,0,0.0
7260,3,19,1,0,0.0
7260,3,21,1,0,0.0
7260,3,22,1,0,0.0
7260,3,23,1,1,1.0
7261,3,21,1,0,0.0
7261,3,22,1,1,1.0
7261,3,23,1,0,0.0
7261,3,24,2,0,0.0
7261,3,25,2,0,0.0
7264,3,20,1,0,0.0
7264,3,23,2,0,0.0
7264,3,25,4,1,0.25
7265,0,36,1,1,1.0
7265,1,15,1,0,0.0
7265,1,20,1,0,0.0
7265,1,21,2,0,0.0
7265,1,22,2,0,0.0
7265,1,23,4,0,0.0
7265,3,22,1,0,0.0
7265,3,23,1,0,0.0
7265,3,24,1,0,0.0
7265,3,25,1,0,0.0
7265,5,0,1,1,1.0
7265,6,33,1,0,0.0
7266,1,22,1,0,0.0
7266,1,42,1,1,1.0
7267,0,21,1,0,0.0
7267,2,12,1,1,1.0
7267,2,17,1,1,1.0
7267,2,46,1,1,1.0
7267,3,14,1,1,1.0
7269,3,20,2,1,0.5
7269,3,22,1,0,0.0
7269,3,23,4,0,0.0
7269,3,24,5,0,0.0
7269,3,25,1,1,1.0
7270,2,43,1,0,0.0
7270,6,11,1,0,0.0
7270,6,22,1,0,0.0
7270,6,37,2,2,1.0
7270,6,38,3,1,0.3333
7270,6,39,2,1,0.5
7270,6,40,2,0,0.0
7270,6,41,1,1,1.0
7270,6,43,1,0,0.0
7271,1,27,1,0,0.0
7271,6,32,1,1,1.0
7271,6,33,1,1,1.0
7271,6,35,1,1,1.0
7271,6,36,2,2,1.0
7271,6,38,2,2,1.0
7273,1,33,1,1,1.0
7273,3,20,1,0,0.0
7273,3,21,1,0,0.0
7273,3,23,4,0,0.0
7273,3,24,7,1,0.1429
7274,3,25,2,2,1.0
7275,3,22,1,0,0.0
7275,3,25,2,0,0.0
7278,3,13,1,0,0.0
7278,3,14,1,0,0.0
7278,3,16,1,1,1.0
7278,3,17,2,0,0.0
7278,3,18,1,0,0.0
7278,3,21,1,0,0.0
7278,3,22,4,1,0.25
7278,3,23,3,0,0.0
7278,3,24,6,0,0.0
7278,3,25,6,0,0.0
7280,3,13,1,0,0.0
7280,3,17,1,0,0.0
7280,3,19,1,0,0.0
7280,3,22,1,0,0.0
7280,3,23,1,0,0.0
7280,3,24,3,0,0.0
7280,3,25,2,1,0.5
7282,1,13,1,1,1.0
7297,2,13,4,0,0.0
7297,2,14,1,0,0.0
7297,2,23,1,0,0.0
7297,2,27,1,0,0.0
7297,2,28,1,0,0.0
7297,2,29,2,1,0.5
7297,2,35,1,1,1.0
7301,0,38,1,0,0.0
7301,2,20,1,0,0.0
7301,2,21,1,1,1.0
7301,2,26,1,1,1.0
7301,2,31,2,0,0.0
7301,3,21,1,0,0.0
7301,3,22,1,1,1.0
7301,3,24,2,0,0.0
7301,3,25,3,1,0.3333
7301,3,35,2,2,1.0
7301,4,17,1,1,1.0
7303,1,20,1,0,0.0
7303,1,22,2,1,0.5
7320,3,16,1,0,0.0
7320,3,17,2,0,0.0
7320,3,19,1,0,0.0
7320,3,22,1,1,1.0
7320,3,23,1,0,0.0
7320,3,24,3,0,0.0
7320,3,25,4,1,0.25
7329,3,22,1,1,1.0
7329,3,24,2,2,1.0
7329,3,25,2,2,1.0
7331,3,24,1,0,0.0
7331,3,25,2,2,1.0
7332,3,23,2,0,0.0
7332,3,25,1,0,0.0
7333,1,30,1,0,0.0
7333,3,20,1,0,0.0
7333,3,23,1,0,0.0
7333,3,24,3,0,0.0
7333,3,25,4,3,0.75
7334,1,31,1,0,0.0
7334,3,23,2,0,0.0
7334,3,24,2,1,0.5
7334,3,25,3,1,0.3333
7335,1,19,1,0,0.0
7335,3,24,2,2,1.0
7335,3,25,2,1,0.5
7336,3,11,1,0,0.0
7336,3,23,1,0,0.0
7336,3,24,2,1,0.5
7336,3,25,1,1,1.0
7339,1,28,1,1,1.0
7339,3,16,1,0,0.0
7339,3,25,4,0,0.0
7340,3,24,2,2,1.0
7340,3,25,3,3,1.0
7343,3,13,1,0,0.0
7343,3,15,1,0,0.0
7343,3,22,1,0,0.0
7343,3,24,2,0,0.0
7343,3,25,4,2,0.5
7343,6,15,1,1,1.0
7344,0,44,1,1,1.0
7344,0,45,1,1,1.0
7344,3,22,2,0,0.0
7344,3,23,1,0,0.0
7344,3,24,2,2,1.0
7344,3,25,4,2,0.5
7345,0,31,1,1,1.0
7345,1,22,1,1,1.0
7345,1,24,1,1,1.0
7345,1,27,1,1,1.0
7345,1,28,1,0,0.0
7345,2,35,1,1,1.0
7345,3,1,1,0,0.0
7345,3,20,1,0,0.0
7345,3,21,2,0,0.0
7345,3,23,2,0,0.0
7345,3,24,2,1,0.5
7345,3,25,2,1,0.5
7345,3,27,1,1,1.0
7347,3,17,1,0,0.0
7347,3,25,3,1,0.3333
7348,2,20,1,0,0.0
7348,2,33,1,0,0.0
7348,2,37,2,1,0.5
7348,3,16,1,0,0.0
7348,3,17,1,0,0.0
7348,3,18,1,0,0.0
7348,3,19,1,1,1.0
7348,3,20,2,0,0.0
7348,3,21,3,0,0.0
7348,3,22,3,2,0.6667
7348,3,23,2,1,0.5
7348,3,24,7,5,0.7143
7348,3,25,4,3,0.75
7350,3,14,1,0,0.0
7350,3,15,1,0,0.0
7350,3,18,1,0,0.0
7350,3,21,1,0,0.0
7350,3,25,2,0,0.0
7354,1,40,1,1,1.0
7354,3,20,1,0,0.0
7354,3,21,1,0,0.0
7354,3,22,1,1,1.0
7354,3,26,1,1,1.0
7355,1,46,1,0,0.0
7355,3,17,1,0,0.0
7355,3,18,1,0,0.0
7355,3,20,2,0,0.0
7355,3,22,1,0,0.0
7355,3,24,2,0,0.0
7355,3,25,2,0,0.0
7356,2,29,1,1,1.0
7356,2,35,1,1,1.0
7356,3,23,2,0,0.0
7356,3,24,2,0,0.0
7356,3,25,3,1,0.3333
7357,3,22,1,1,1.0
7357,3,24,2,2,1.0
7358,2,33,1,1,1.0
7358,3,12,1,0,0.0
7358,3,22,1,0,0.0
7358,3,23,1,0,0.0
7358,3,24,2,0,0.0
7359,3,18,1,0,0.0
7359,3,21,2,0,0.0
7359,3,22,2,0,0.0
7359,3,23,2,0,0.0
7359,3,24,4,1,0.25
7359,3,25,12,2,0.1667
7360,3,22,1,0,0.0
7360,3,23,2,0,0.0
7360,3,24,2,0,0.0
7362,2,18,1,1,1.0
7362,3,17,1,0,0.0
7362,3,18,1,0,0.0
7362,3,21,1,0,0.0
7362,3,22,3,0,0.0
7362,3,24,5,0,0.0
7362,3,25,5,2,0.4
7362,3,34,1,1,1.0
7363,3,24,1,0,0.0
7363,3,25,1,0,0.0
7365,3,23,1,0,0.0
7365,3,24,2,1,0.5
7365,3,25,7,3,0.4286
7366,3,23,2,0,0.0
7366,3,24,2,0,0.0
7366,3,25,7,0,0.0
7368,3,24,1,1,1.0
7368,3,25,1,0,0.0
7377,0,19,1,0,0.0
7377,3,22,1,0,0.0
7377,3,24,3,0,0.0
7379,3,22,1,0,0.0
7379,3,24,1,0,0.0
7389,3,16,1,0,0.0
7389,3,24,1,1,1.0
7389,3,25,1,0,0.0
7392,0,40,1,1,1.0
7392,1,14,1,1,1.0
7392,2,24,1,1,1.0
7392,2,28,3,3,1.0
7392,2,29,1,1,1.0
7392,2,38,1,1,1.0
7392,3,13,1,1,1.0
7392,3,15,1,1,1.0
7392,5,45,1,1,1.0
7392,6,26,1,1,1.0
7392,6,35,1,1,1.0
7392,6,42,1,1,1.0
7394,2,20,1,0,0.0
7394,2,21,4,1,0.25
7394,2,27,1,0,0.0
7394,5,28,1,1,1.0
7394,6,28,1,1,1.0
7394,6,36,1,1,1.0
7394,6,42,1,1,1.0
7396,3,15,1,1,1.0
7396,3,22,1,1,1.0
7396,3,25,1,1,1.0
7399,3,23,1,0,0.0
7399,3,24,1,0,0.0
7399,3,25,1,0,0.0
7400,3,24,1,0,0.0
7400,3,25,4,2,0.5
7401,3,19,1,0,0.0
7401,3,23,1,0,0.0
7401,3,24,1,0,0.0
7402,1,38,1,0,0.0
7402,3,18,1,0,0.0
7402,3,24,2,0,0.0
7402,3,25,2,0,0.0
7406,3,19,2,1,0.5
7406,3,20,1,0,0.0
7406,3,22,1,0,0.0
7406,3,23,1,0,0.0
7406,3,24,7,0,0.0
7406,3,25,5,2,0.4
7411,3,24,1,0,0.0
7411,3,25,3,2,0.6667
7412,3,15,2,0,0.0
7412,3,21,1,0,0.0
7412,3,25,1,0,0.0
7412,3,37,1,1,1.0
7413,3,23,2,0,0.0
7413,3,24,1,0,0.0
7415,3,21,1,0,0.0
7415,3,23,1,0,0.0
7415,3,25,1,0,0.0
7416,3,24,3,1,0.3333
7416,3,25,3,3,1.0
7417,3,18,1,0,0.0
7417,3,21,1,0,0.0
7417,3,23,1,0,0.0
7417,3,24,3,1,0.3333
7417,3,25,4,1,0.25
7418,3,12,1,1,1.0
7418,3,24,4,2,0.5
7418,3,25,5,2,0.4
7423,3,12,1,0,0.0
7423,3,23,2,0,0.0
7423,3,24,1,0,0.0
7423,3,25,2,2,1.0
7423,3,43,1,1,1.0
7425,3,23,1,1,1.0
7425,3,25,2,2,1.0
7428,3,21,1,0,0.0
7428,3,22,1,0,0.0
7431,2,30,1,1,1.0
7434,3,23,1,0,0.0
7434,3,24,3,1,0.3333
7434,3,25,2,0,0.0
7434,4,0,1,1,1.0
7436,3,18,1,0,0.0
7436,3,22,1,0,0.0
7436,3,23,2,0,0.0
7436,3,24,1,0,0.0
7436,3,25,2,0,0.0
7436,6,23,1,1,1.0
7438,3,18,1,0,0.0
7438,3,21,1,0,0.0
7438,3,22,1,0,0.0
7438,3,23,2,0,0.0
7438,3,24,2,0,0.0
7438,3,25,3,2,0.6667
7446,3,24,2,0,0.0
7450,1,24,1,1,1.0
7450,1,46,1,1,1.0
7450,2,39,1,1,1.0
7450,3,18,1,1,1.0
7450,3,25,1,0,0.0
7451,3,23,1,0,0.0
7451,3,24,1,0,0.0
7451,3,25,5,4,0.8
7452,3,24,2,2,1.0
7452,3,25,2,2,1.0
7452,5,40,1,1,1.0
7454,3,20,1,0,0.0
7454,3,24,2,1,0.5
7454,3,25,1,1,1.0
7455,3,14,1,0,0.0
7455,3,22,2,0,0.0
7455,3,23,1,0,0.0
7455,3,25,1,0,0.0
7457,3,13,1,0,0.0
7457,3,23,1,0,0.0
7457,3,24,1,0,0.0
7457,3,25,1,0,0.0
7458,2,27,1,0,0.0
7458,2,30,1,0,0.0
7458,3,14,1,0,0.0
7458,3,15,1,0,0.0
7459,0,29,1,1,1.0
7459,2,30,1,0,0.0
7459,3,15,1,1,1.0
7474,3,20,2,1,0.5
7474,3,21,1,0,0.0
7474,3,22,1,0,0.0
7474,3,23,1,0,0.0
7474,3,24,4,0,0.0
7474,3,25,2,0,0.0
7476,3,24,1,1,1.0
7476,3,25,1,0,0.0
7478,3,20,1,0,0.0
7478,3,25,2,0,0.0
7479,3,22,1,0,0.0
7479,3,23,1,0,0.0
7479,3,24,1,1,1.0
