Zone_Number,Latitude,Longitude,slot_0,slot_1,slot_10,slot_11,slot_12,slot_13,slot_14,slot_15,slot_16,slot_17,slot_18,slot_19,slot_2,slot_20,slot_21,slot_22,slot_23,slot_24,slot_25,slot_26,slot_27,slot_28,slot_29,slot_3,slot_30,slot_31,slot_32,slot_33,slot_34,slot_35,slot_36,slot_37,slot_38,slot_39,slot_4,slot_40,slot_41,slot_42,slot_43,slot_44,slot_45,slot_46,slot_47,slot_5,slot_6,slot_7,slot_8,slot_9
7343,-37.811834015,144.971324295,,,,,,0.0,,0.5,,,,,,,,0.0,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7344,-37.8172032882,144.9607684824,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
7345,-37.8130165167,144.9672900767,,0.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.75,0.5,,1.0,0.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
7347,-37.8163149,144.95717655,,,,,,,,,,0.0,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7348,-37.8347787679,144.9781744924,,,,,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,0.6667,0.5,0.7143,0.75,,,,,,,,,0.0,,,,0.5,,,,,,,,,,,,,,,,
7350,-37.816623225,144.9573163,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7354,-37.8185112167,144.955693375,,,,,,,,,,,,,,0.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
7355,-37.8171699182,144.9608081364,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
7356,-37.8150405471,144.9675573647,,,,,,,,,,,,,,,,,0.0,0.0,0.3333,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
7357,-37.8184744667,144.95610195,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7358,-37.8145245647,144.9697625471,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
7359,-37.8150931687,144.96793825,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.25,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7360,-37.8138351846,144.9720874692,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7362,-37.8179417733,144.9580117333,,,,,,,,,,0.0,0.5,,,,0.0,0.0,,0.0,0.4,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
7363,-37.81470045,144.9694939,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7365,-37.8180101286,144.9578682286,,,,,,,,,,,,,,,,,0.0,0.5,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7366,-37.813727525,144.9725868813,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7368,-37.82068084,144.95570977,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7377,-37.8201049889,144.9556652667,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7379,-37.81307096,144.9621475,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7389,-37.8130820583,144.9624375083,,,,,,,,,0.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7392,-37.802631499,144.9584120199,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,
