Zone_Number,weekday,slot_30,total_obs,availability_rate
7280,6,31,1,0.0
7280,6,33,1,0.0
7280,6,34,2,0.0
7280,6,35,2,0.0
7280,6,36,4,0.0
7282,1,13,1,1.0
7297,2,13,4,0.0
7297,2,14,1,0.0
7297,2,23,1,0.0
7297,2,27,1,0.0
7297,2,28,1,0.0
7297,2,29,2,0.5
7297,2,35,1,1.0
7301,0,38,1,0.0
7301,2,20,1,0.0
7301,2,21,1,1.0
7301,3,35,1,1.0
7301,4,17,1,1.0
7301,6,23,1,0.0
7301,6,32,1,0.0
7301,6,33,1,0.0
7301,6,35,1,0.0
7301,6,36,3,1.0
7301,6,37,1,1.0
7302,5,38,1,0.0
7302,6,32,3,1.0
7302,6,33,3,0.6666666666666666
7302,6,34,5,1.0
7302,6,35,1,1.0
7302,6,36,8,1.0
7302,6,37,1,1.0
7302,6,38,1,0.0
7302,6,41,2,0.5
7303,1,20,1,0.0
7303,1,22,2,0.5
7320,6,10,1,0.0
7320,6,33,1,0.0
7320,6,34,1,0.0
7320,6,35,3,0.0
7320,6,36,2,0.0
7320,6,37,5,0.4
7329,6,32,1,0.0
7329,6,34,1,1.0
7329,6,35,1,0.0
7329,6,37,2,0.0
7331,5,43,1,0.0
7331,6,33,1,0.0
7331,6,34,1,1.0
7332,6,34,1,0.0
7332,6,35,1,0.0
7332,6,38,1,0.0
7333,1,30,1,0.0
7333,6,34,2,0.0
7333,6,35,1,0.0
7333,6,36,6,0.0
7333,6,37,1,1.0
7334,1,31,1,0.0
7334,6,30,1,0.0
7334,6,35,3,0.0
7334,6,36,2,0.5
7334,6,38,1,1.0
7335,1,19,1,0.0
7335,6,27,1,1.0
7335,6,36,1,0.0
7335,6,37,1,0.0
7335,6,38,1,1.0
7336,6,35,2,1.0
7336,6,36,1,1.0
7336,6,37,1,1.0
7336,6,38,1,0.0
7339,1,28,1,1.0
7339,6,35,2,0.5
7339,6,37,3,0.6666666666666666
7340,6,36,2,1.0
7340,6,37,2,0.0
7340,6,38,1,0.0
7343,6,15,1,1.0
7343,6,34,1,0.0
7343,6,35,4,0.0
7343,6,36,2,0.0
7343,6,38,2,1.0
7344,0,44,1,1.0
7344,0,45,1,1.0
7344,6,26,1,1.0
7344,6,31,1,1.0
7344,6,35,4,0.5
7344,6,36,3,1.0
7345,0,31,1,1.0
7345,1,22,1,1.0
7345,1,24,1,1.0
7345,1,27,1,1.0
7345,1,28,1,0.0
7345,2,35,1,1.0
7345,3,27,1,1.0
7345,4,35,1,0.0
7345,5,40,1,0.0
7345,6,7,1,0.0
7345,6,9,1,0.0
7345,6,35,1,0.0
7345,6,37,3,0.6666666666666666
7345,6,38,2,0.0
7347,6,31,2,0.5
7347,6,34,2,1.0
7348,4,32,1,0.0
7348,5,23,1,0.0
7348,5,37,1,0.0
7348,6,20,1,1.0
7348,6,22,2,1.0
7348,6,23,1,1.0
7348,6,24,1,1.0
