KerbsideID,weekday,slot_30,total_obs,availability_rate
14997,6,35,1,0.0
14998,6,31,1,0.0
14999,6,32,1,0.0
15000,6,35,1,0.0
15001,6,37,1,0.0
15003,6,37,1,0.0
15006,6,32,1,0.0
15008,6,35,1,0.0
15009,6,37,1,0.0
15020,6,36,1,0.0
15021,6,33,1,0.0
15022,6,17,1,0.0
15023,5,33,1,0.0
15024,6,23,1,0.0
15025,0,30,1,1.0
15026,4,41,1,0.0
15027,1,45,1,0.0
15028,0,30,1,0.0
15030,4,35,1,0.0
15090,6,36,1,1.0
15091,6,36,1,1.0
15092,6,29,1,0.0
15093,6,29,1,1.0
15094,6,35,1,0.0
15095,6,30,1,1.0
15096,6,37,1,0.0
15097,6,33,1,0.0
15099,5,43,1,0.0
15100,6,18,1,1.0
15101,5,40,1,1.0
15102,6,24,1,1.0
15103,6,19,1,1.0
15297,2,31,1,0.0
15324,6,35,1,0.0
15326,6,30,1,0.0
15327,2,30,1,0.0
15328,2,20,1,1.0
15329,2,26,1,0.0
15334,2,25,1,0.0
15335,2,25,1,0.0
15336,2,32,1,0.0
15337,2,32,1,1.0
16174,6,36,1,0.0
16284,5,43,1,1.0
16285,6,36,1,0.0
16286,6,36,1,0.0
16287,6,35,1,1.0
16289,6,36,1,1.0
16403,6,36,1,1.0
16404,6,36,1,1.0
16406,6,37,1,1.0
16407,6,35,1,1.0
16408,6,38,1,1.0
16409,6,34,1,0.0
16410,6,36,1,1.0
16411,6,38,1,1.0
16412,6,34,1,0.0
16413,6,31,1,0.0
16414,6,37,1,1.0
16415,6,33,1,0.0
16416,5,33,1,0.0
16417,6,35,1,1.0
16418,6,35,1,0.0
16419,6,37,1,1.0
16420,6,36,1,1.0
16421,6,35,1,1.0
16423,6,36,1,1.0
16425,6,13,1,0.0
16426,6,33,1,1.0
16427,6,38,1,0.0
16428,6,37,1,1.0
16429,6,38,1,0.0
16430,6,37,1,1.0
16433,6,33,1,1.0
16434,6,35,1,1.0
16435,6,34,1,1.0
16436,6,36,1,1.0
16696,1,17,1,1.0
16743,2,37,1,0.0
16744,2,37,1,0.0
16745,2,37,1,0.0
16746,2,34,1,0.0
16747,2,35,1,0.0
16748,2,39,1,0.0
16749,2,37,1,0.0
16751,2,38,1,0.0
16752,2,38,1,0.0
16778,0,20,1,1.0
16779,0,21,1,0.0
16781,0,15,1,0.0
16788,6,35,1,0.0
16789,6,31,1,0.0
17202,4,17,1,1.0
17205,2,21,1,1.0
17206,6,36,1,1.0
17212,3,35,1,1.0
17242,6,23,1,0.0
17243,6,20,1,0.0
17244,6,37,1,1.0
17280,0,38,1,0.0
17281,6,35,1,0.0
17282,6,32,1,0.0
17283,6,36,1,1.0
17285,6,36,1,1.0
17290,2,20,1,0.0
17295,6,33,1,0.0
17321,6,32,1,1.0
17322,6,37,1,0.0
17323,6,37,1,0.0
17325,6,37,1,0.0
17330,6,34,1,0.0
17332,6,35,1,0.0
17333,6,35,1,0.0
17334,6,37,1,0.0
17338,6,37,1,0.0
17339,6,35,1,0.0
17342,2,32,1,1.0
17376,6,37,1,0.0
17377,6,36,1,1.0
17378,6,38,1,1.0
17379,6,36,1,0.0
17380,3,35,1,0.0
17381,6,36,1,1.0
17382,6,37,1,1.0
17429,6,35,1,0.0
17430,6,32,1,0.0
17431,6,33,1,0.0
17432,6,37,1,0.0
17433,6,35,1,0.0
17434,6,32,1,0.0
17435,6,32,1,0.0
17436,6,34,1,0.0
17437,6,13,1,0.0
17438,6,31,1,0.0
17439,6,36,1,0.0
17440,6,32,1,0.0
17441,6,37,1,0.0
17442,6,21,1,0.0
17443,6,31,1,0.0
17446,6,30,1,0.0
17447,6,26,1,0.0
17448,6,35,1,0.0
17449,6,35,1,0.0
17450,6,37,1,1.0
17452,6,30,1,0.0
17453,6,34,1,0.0
17454,6,35,1,0.0
17455,6,35,1,0.0
17456,6,33,1,0.0
17457,6,38,1,1.0
17458,6,33,1,0.0
17459,1,28,1,1.0
17460,6,33,1,0.0
17461,6,37,1,1.0
17462,6,35,1,0.0
17463,6,33,1,0.0
