KerbsideID,Latitude,Longitude,RoadSegmentDescription,Zone_Number
,-37.8088026,144.9479424,Stanley Street between Adderley Street and Spencer Street,
,-37.7817353,144.9563679,Old Poplar Road from The Avenue,
,-37.8028344,144.96769,Pelham Street between Drummond Street and Lygon Street,7089.0
,-37.8068961,144.9429123,Dryburgh Street between Adderley Street and Ireland Street,
,-37.8462496,144.9794792,St Kilda Road between Commercial Road and Moubray Street,7910.0
,-37.8455714,144.979232,St Kilda Road between Commercial Road and Moubray Street,7910.0
,-37.80557,144.9589437,Elizabeth Street between Victoria Street and Queensberry Street,7520.0
,-37.8119176,144.9707999,Bourke Street between Spring Street and Exhibition Street,7343.0
63516,-37.8122462,144.9696932,Bourke Street between Exhibition Street and Russell Street,7320.0
,-37.8173788,144.9639064,Flinders Lane between Elizabeth Street and Queen Street,7415.0
,-37.7855002,144.9632179,Princes Park Drive between Cemetery Road West and MacPherson Street,
,-37.7866713,144.963022,Princes Park Drive between Cemetery Road West and MacPherson Street,
23267,-37.8107972,144.9512757,Batman Street between Spencer Street and King Street,7938.0
,-37.815452,144.9549955,Little Bourke Street between King Street and Spencer Street,7335.0
,-37.8155493,144.9546561,Little Bourke Street between King Street and Spencer Street,7335.0
,-37.7996597,144.9539176,High Street between Flemington Road and Vale Street,7757.0
,-37.8081248,144.94584,Hawke Street between Ireland Street and Adderley Street,
,-37.8083068,144.9456441,Hawke Street between Ireland Street and Adderley Street,
,-37.7990428,144.9372554,Langford Street between Arden Street and Green Street,
,-37.7989984,144.9373646,Langford Street between Arden Street and Green Street,
,-37.8222477,144.9340764,Lorimer Street between Boundary Street and Ingles Street,
,-37.8225559,144.9355452,Lorimer Street between Boundary Street and Ingles Street,
,-37.821896,144.9349233,South Wharf Drive between Bass Lane and Straitsman Lane,
,-37.8217754,144.9346987,South Wharf Drive between Straitsman Lane and Vessel Lane,
,-37.8217914,144.9347699,South Wharf Drive between Straitsman Lane and Vessel Lane,
,-37.8007948,144.9515059,Leveson Street between Arden Street and Courtney Street,7757.0
,-37.791325,144.9350274,Scarborough Place between Lambeth Street and Stubbs Street,
,-37.801069,144.9469121,Little Baillie Street from Baillie Street,
18643,-37.8087686,144.9729365,Nicholson Street between Albert Street and Victoria Street,7266.0
17958,-37.8105318,144.9729482,Nicholson Street between Spring Street and Albert Street,7265.0
18825,-37.8095037,144.9747779,Albert Street between Nicholson Street and Gisborne Street,7245.0
18826,-37.8095104,144.9748363,Albert Street between Nicholson Street and Gisborne Street,7245.0
17506,-37.8112251,144.9754391,Parliament Place between St Andrews Place and Gisborne Street,7269.0
7485,-37.8097812,144.9773291,Albert Street between Morrison Place and Lansdowne Street,7236.0
7879,-37.8101318,144.9804739,Albert Street between Lansdowne Street and Eades Street,7239.0
16430,-37.8101133,144.9816282,Albert Street between Clarendon Street and Eades Street,7237.0
,-37.8102657,144.9816863,Albert Street between Clarendon Street and Eades Street,7237.0
,-37.8102881,144.9818888,Albert Street between Clarendon Street and Eades Street,7234.0
,-37.8101993,144.9810857,Intersection of Albert Street and Eades Street,7237.0
